t,y,type
0,1176,averageRFU
0.176666667,1190,averageRFU
0.355,1237.666667,averageRFU
0.823333333,1334,averageRFU
1.323333333,1421.666667,averageRFU
1.823333333,1530,averageRFU
2.323333333,1624,averageRFU
2.823333333,1727,averageRFU
3.323333333,1780,averageRFU
3.823333333,1902.333333,averageRFU
4.323333333,1997.333333,averageRFU
4.823333333,2102.666667,averageRFU
5.323333333,2199.666667,averageRFU
5.823333333,2289.333333,averageRFU
6.323333333,2403.333333,averageRFU
6.823333333,2475.333333,averageRFU
7.323333333,2583,averageRFU
7.823333333,2699.333333,averageRFU
8.323333333,2785.333333,averageRFU
8.823333333,2865,averageRFU
9.323333333,3026.666667,averageRFU
9.823333333,3103,averageRFU
10.32333333,3207,averageRFU
10.82333333,3297.333333,averageRFU
11.32333333,3376.333333,averageRFU
11.82333333,3492,averageRFU
12.32333333,3590.666667,averageRFU
12.82333333,3700.666667,averageRFU
13.32333333,3796.333333,averageRFU
13.82333333,3886,averageRFU
14.32333333,3995.333333,averageRFU
14.82333333,4126.333333,averageRFU
15.32333333,4242,averageRFU
15.82333333,4326,averageRFU
16.32333333,4404,averageRFU
16.82333333,4508.666667,averageRFU
17.32333333,4642.666667,averageRFU
17.82333333,4753,averageRFU
18.32333333,4868.666667,averageRFU
18.82333333,4979,averageRFU
19.32333333,5071.666667,averageRFU
19.82333333,5230.333333,averageRFU
20.32333333,5265,averageRFU
20.82333333,5572.666667,averageRFU
21.32333333,5640.666667,averageRFU
21.82333333,5713.333333,averageRFU
22.32333333,5820,averageRFU
22.82333333,6056.666667,averageRFU
23.32333333,6090.666667,averageRFU
23.82333333,6178,averageRFU
24.32333333,6265,averageRFU
24.82333333,6416.666667,averageRFU
25.32333333,6514,averageRFU
25.82333333,6624.666667,averageRFU
26.32333333,6787.666667,averageRFU
26.82333333,6930.333333,averageRFU
27.32333333,7134.333333,averageRFU
27.82333333,7189.333333,averageRFU
28.32333333,7227.666667,averageRFU
28.82333333,7453.666667,averageRFU
29.32333333,7490.666667,averageRFU
29.82333333,7599,averageRFU
30.32333333,7839.333333,averageRFU
30.82333333,7803,averageRFU
31.32333333,7927.333333,averageRFU
31.82333333,8100.333333,averageRFU
32.32333333,8352.666667,averageRFU
32.82333333,8285,averageRFU
33.32333333,8349,averageRFU
33.82333333,8647.666667,averageRFU
34.32333333,8568,averageRFU
34.82333333,8898,averageRFU
35.32333333,8900.333333,averageRFU
35.82333333,8959.666667,averageRFU
36.32333333,9326.666667,averageRFU
36.82333333,9324.666667,averageRFU
37.32333333,9328.333333,averageRFU
37.825,9751.333333,averageRFU
38.325,9695.666667,averageRFU
38.82333333,9832.333333,averageRFU
39.32333333,10079,averageRFU
39.82333333,10049.33333,averageRFU
40.32333333,10286.33333,averageRFU
