time_h,RFU,compound
0,312,carboxylate
0,286,carboxylate
0,291,carboxylate
0,346,phenylester
0,339,phenylester
0,334,phenylester
0,305,methylester
0,295,methylester
0,298,methylester
0,302,metronidazole_ester
0,294,metronidazole_ester
0,283,metronidazole_ester
0,309,sulfurylester
0,301,sulfurylester
0,297,sulfurylester
0,279,none
0,261,none
0,279,none
0,281,Media_control
0,272,Media_control
0,275,Media_control
0.016666667,327,carboxylate
0.016666667,292,carboxylate
0.016666667,292,carboxylate
0.016666667,358,phenylester
0.016666667,349,phenylester
0.016666667,337,phenylester
0.016666667,308,methylester
0.016666667,288,methylester
0.016666667,289,methylester
0.016666667,298,metronidazole_ester
0.016666667,298,metronidazole_ester
0.016666667,289,metronidazole_ester
0.016666667,311,sulfurylester
0.016666667,301,sulfurylester
0.016666667,294,sulfurylester
0.016666667,289,none
0.016666667,273,none
0.016666667,293,none
0.016666667,278,Media_control
0.016666667,277,Media_control
0.016666667,278,Media_control
0.033333333,326,carboxylate
0.033333333,288,carboxylate
0.033333333,303,carboxylate
0.033333333,352,phenylester
0.033333333,339,phenylester
0.033333333,334,phenylester
0.033333333,306,methylester
0.033333333,296,methylester
0.033333333,289,methylester
0.033333333,305,metronidazole_ester
0.033333333,289,metronidazole_ester
0.033333333,285,metronidazole_ester
0.033333333,311,sulfurylester
0.033333333,297,sulfurylester
0.033333333,295,sulfurylester
0.033333333,287,none
0.033333333,275,none
0.033333333,282,none
0.033333333,273,Media_control
0.033333333,270,Media_control
0.033333333,276,Media_control
0.05,333,carboxylate
0.05,291,carboxylate
0.05,289,carboxylate
0.05,363,phenylester
0.05,361,phenylester
0.05,348,phenylester
0.05,311,methylester
0.05,301,methylester
0.05,292,methylester
0.05,298,metronidazole_ester
0.05,291,metronidazole_ester
0.05,296,metronidazole_ester
0.05,313,sulfurylester
0.05,296,sulfurylester
0.05,300,sulfurylester
0.05,280,none
0.05,264,none
0.05,277,none
0.05,278,Media_control
0.05,264,Media_control
0.05,271,Media_control
