time_h,RFU,compound
0,279,none
0,261,none
0,279,none
0.016666667,289,none
0.016666667,273,none
0.016666667,293,none
0.033333333,287,none
0.033333333,275,none
0.033333333,282,none
0.05,280,none
0.05,264,none
0.05,277,none
0.066666667,277,none
0.066666667,263,none
0.066666667,275,none
0.083333333,275,none
0.083333333,276,none
0.083333333,277,none
0.1,278,none
0.1,267,none
0.1,279,none
0.116666667,274,none
0.116666667,273,none
0.116666667,282,none
0.133333333,289,none
0.133333333,274,none
0.133333333,282,none
0.15,281,none
0.15,269,none
0.15,283,none
0.166666667,294,none
0.166666667,277,none
0.166666667,282,none
0.183333333,285,none
0.183333333,271,none
0.183333333,284,none
0.2,290,none
0.2,276,none
0.2,291,none
0.216666667,291,none
0.216666667,280,none
0.216666667,285,none
0.233333333,293,none
0.233333333,278,none
0.233333333,295,none
0.25,291,none
0.25,269,none
0.25,291,none
0.266666667,302,none
0.266666667,285,none
0.266666667,298,none
0.283333333,303,none
0.283333333,284,none
0.283333333,293,none
0.3,299,none
0.3,281,none
0.3,292,none
0.316666667,305,none
0.316666667,287,none
0.316666667,296,none
0.333333333,291,none
0.333333333,281,none
0.333333333,294,none
0.35,300,none
0.35,294,none
0.35,293,none
0.366666667,296,none
0.366666667,285,none
0.366666667,305,none
0.383333333,308,none
0.383333333,287,none
0.383333333,304,none
0.4,306,none
0.4,289,none
0.4,294,none
0.416666667,311,none
0.416666667,292,none
0.416666667,302,none
0.433333333,303,none
0.433333333,298,none
0.433333333,303,none
0.45,308,none
0.45,300,none
0.45,300,none
0.466666667,313,none
0.466666667,296,none
0.466666667,315,none
0.483333333,318,none
0.483333333,296,none
0.483333333,305,none
0.5,314,none
0.5,300,none
0.5,313,none
0.516666667,316,none
0.516666667,306,none
0.516666667,315,none
0.533333333,314,none
0.533333333,305,none
0.533333333,324,none
0.55,325,none
0.55,300,none
0.55,322,none
0.566666667,327,none
0.566666667,305,none
0.566666667,318,none
0.583333333,324,none
0.583333333,307,none
